Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
Q59990	cyp120 cyp slr0574	cyp120	Putative cytochrome P450 120 (EC 1.14.-.-)	444	50,578	1.14.-.-	syn:slr0574;
P72623	glgA2 sll1393	glgA2	Probable glycogen synthase 2 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 2)	491	56,225	2.4.1.21	syn:sll1393;
Q55473	ggtD slr0531	ggtD	Osmoprotective compounds uptake permease protein GgtD	298	32,829		syn:slr0531;
P72940	cysC slr0676	cysC	Probable adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	177	19,674	2.7.1.25	syn:slr0676;
P73558	gatA slr0877	gatA	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	483	51,471	6.3.5.7	syn:slr0877;
P73437	ftsH4 sll1463	ftsH4	ATP-dependent zinc metalloprotease FtsH 4 (EC 3.4.24.-)	628	68,199	3.4.24.-	syn:sll1463;
Q55585	gabD slr0370	gabD	Probable succinate-semialdehyde dehydrogenase [NADP(+)] (SSDH) (EC 1.2.1.79)	454	48,749	1.2.1.79	syn:slr0370;
Q55738	gyrA slr0417	gyrA	DNA gyrase subunit A (EC 5.6.2.2)	860	95,073	5.6.2.2	syn:slr0417;
P51634	chlI slr1030	chlI	Magnesium-chelatase subunit ChlI (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase)	357	39,463	6.6.1.1	syn:slr1030;
P72759	ccmL sll1030	ccmL	Carboxysome shell vertex protein CcmL (Carbon dioxide concentrating mechanism protein CcmL)	100	10,638		syn:sll1030;
P72642	dapB sll1058	dapB	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	275	29,091	1.17.1.8	syn:sll1058;
P74706	anmK slr1179	anmK	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	387	42,452	2.7.1.170	syn:slr1179;
Q01952	apcB slr1986	apcB	Allophycocyanin beta chain	161	17,216		syn:slr1986;
P74285	cugP sll1558	cugP	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Cyanobacterial UDP-glucose pyrophosphorylase) (UDP-glucose pyrophosphorylase) (UDP-Glc PPase)	388	42,768	2.7.7.9	syn:sll1558;
Q54735	ccaA icfA slr1347	ccaA	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	274	30,761	4.2.1.1	syn:slr1347;
P73935	apt sll1430	apt	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	172	18,997	2.4.2.7	syn:sll1430;
Q6YRW7	arsI2 slr6037	arsI2	Arsenate reductase ArsI2 (EC 1.20.4.1)	140	15,558	1.20.4.1	syn:slr6037;
P73241	pacS sll1920	pacS	Probable copper-transporting ATPase PacS (EC 7.2.2.8)	745	79,950	7.2.2.8	syn:sll1920;
P74459	clpB1 slr0156	clpB1	Chaperone protein ClpB 1	898	101,392		syn:slr0156;
P73441	def slr1549	def	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	187	21,026	3.5.1.88	syn:slr1549;
P28373	chlL frxC slr0749	chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)	288	31,480	1.3.7.7	syn:slr0749;
P73726	slr1736		Homogentisate phytyltransferase (HPT) (EC 2.5.1.115)	308	34,410	2.5.1.115	syn:slr1736;
P74587	carA sll1498	carA	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	384	41,817	6.3.5.5	syn:sll1498;
Q55760	slr0427		CinA-like protein	416	44,707		syn:slr0427;
Q55459	cmpR sll0030	cmpR	HTH-type transcriptional activator CmpR	304	34,099		syn:sll0030;
P73092	cpcS2 slr2049	cpcS2	Chromophore lyase CpcS/CpeS 2 (EC 4.-.-.-)	192	21,946	4.-.-.-	syn:slr2049;
P73747	cpcS1 sll0853	cpcS1	Chromophore lyase CpcS/CpeS 1 (EC 4.-.-.-)	186	21,214	4.-.-.-	syn:sll0853;
P50027	slr0093		DnAJ-like protein slr0093	332	36,366		syn:slr0093;
P72772	chlD slr1777	chlD	Magnesium-chelatase subunit ChlD (Mg-chelatase subunit D) (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase)	676	73,665	6.6.1.1	syn:slr1777;
Q55318	petH slr1643	petH	Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2)	413	46,360	1.18.1.2	syn:slr1643;
P72978	ccsA sll1513	ccsA	Cytochrome c biogenesis protein CcsA	334	36,077		syn:sll1513;
P22358	dnaK2 dnaK sll0170	dnaK2	Chaperone protein DnaK2 (HSP70-2) (Heat shock 70 kDa protein 2) (Heat shock protein 70-2)	636	67,614		syn:sll0170;
P74070	tsf sll1261	tsf	Elongation factor Ts (EF-Ts)	218	24,231		syn:sll1261;
Q55665	hemL gsa sll0017	hemL	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	433	45,892	5.4.3.8	syn:sll0017;
P52986	hom sll0455	hom	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	433	45,486	1.1.1.3	syn:sll0455;
P27319	isiB sll0248	isiB	Flavodoxin	170	18,822		syn:sll0248;
P74180	ftsW slr1267	ftsW	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase)	393	43,038	2.4.1.129	syn:slr1267;
P28372	chlN slr0750	chlN	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)	469	52,475	1.3.7.7	syn:slr0750;
P74361	clpB2 slr1641	clpB2	Chaperone protein ClpB 2	872	98,123		syn:slr1641;
P29273	pds crtD slr1254	pds	Phytoene dehydrogenase (EC 1.3.99.-) (Phytoene desaturase)	472	52,921	1.3.99.-	syn:slr1254;
Q55421	sll0830		Elongation factor G-like protein	669	73,370		syn:sll0830;
P52415	glgC agp slr1176	glgC	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	439	49,366	2.7.7.27	syn:slr1176;
Q55471	ggtB slr0529	ggtB	Osmoprotective compounds-binding protein GgtB	421	46,473		syn:slr0529;
P52981	glgB sll0158	glgB	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	770	89,528	2.4.1.18	syn:sll0158;
P55037	gltB sll1502	gltB	Ferredoxin-dependent glutamate synthase 1 (EC 1.4.7.1) (Fd-GOGAT)	1550	169,071	1.4.7.1	syn:sll1502;
P73033	gpsA slr1755	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	317	33,511	1.1.1.94	syn:slr1755;
P74755	hisI hisIE slr0608	hisI	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]	215	23,945	3.5.4.19; 3.6.1.31	syn:slr0608;
P53580	slr0786		Methionine aminopeptidase B (MAP B) (MetAP B) (EC 3.4.11.18) (Peptidase M)	274	29,634	3.4.11.18	syn:slr0786;
P73860	sll1595		KaiC-like protein 1	568	63,997		syn:sll1595;
Q55163	fmt slr0070	fmt	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	330	35,942	2.1.2.9	syn:slr0070;
Q55450	gatC slr0033	gatC	Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-)	104	11,616	6.3.5.-	syn:slr0033;
P74207	leuD sll1444	leuD	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	200	21,587	4.2.1.33	syn:sll1444;
P73242	fabD slr2023	fabD	Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)	293	31,491	2.3.1.39	syn:slr2023;
P73930	ftsY slr2102	ftsY	Signal recognition particle receptor FtsY (SRP receptor)	504	53,870		syn:slr2102;
P73911	katG sll1987	katG	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	754	84,446	1.11.1.21	syn:sll1987;
P73245	hemW sll1917	hemW	Heme chaperone HemW (Oxygen-independent coproporphyrinogen-III oxidase-like protein sll1917)	412	46,447		syn:sll1917;
Q55629	slr0782		L-amino acid dehydrogenase (EC 1.4.5.-) (L-amino acid:plastoquinone oxidoreductase) (L-arginine dehydrogenase)	471	51,404	1.4.5.-	syn:slr0782;
P29107	ilvC sll1363	ilvC	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	331	35,822	1.1.1.86	syn:sll1363;
P48576	leuA slr0186	leuA	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	533	57,413	2.3.3.13	syn:slr0186;
Q55901	minC sll0288	minC	Probable septum site-determining protein MinC	247	26,842		syn:sll0288;
Q55786	metH slr0212	metH	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12 dependent) (MS)	1195	132,540	2.1.1.13	syn:slr0212;
Q55731	sll0398		Deoxyguanosinetriphosphate triphosphohydrolase-like protein	440	49,937		syn:sll0398;
P55038	gltS sll1499	gltS	Ferredoxin-dependent glutamate synthase 2 (EC 1.4.7.1) (FD-GOGAT)	1556	169,499	1.4.7.1	syn:sll1499;
P72660	lepB1 sll0716	lepB1	Probable signal peptidase I-1 (SPase I-1) (EC 3.4.21.89) (Leader peptidase I-1)	196	22,230	3.4.21.89	syn:sll0716;
Q55804	crhR deaD slr0083	crhR	RNA helicase CrhR (EC 3.6.4.13)	492	55,120	3.6.4.13	syn:slr0083;
Q55854	cysR sll0594	cysR	Regulatory protein CysR homolog	205	22,656		syn:sll0594;
P72848	hemF sll1185	hemF	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	340	38,937	1.3.3.3	syn:sll1185;
Q55777	slr0204		1,4-dihydroxy-2-naphthoyl-CoA hydrolase (DHNA-CoA hydrolase) (EC 3.1.2.28) (DHNA-CoA thioesterase)	138	15,478	3.1.2.28	syn:slr0204;
P74103	frp slr1964	frp	Fluorescence recovery protein (FRP)	109	12,370		syn:slr1964;
P48054	hisB slr0500	hisB	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	210	23,063	4.2.1.19	syn:slr0500;
Q55282	mntB sll1600	mntB	Manganese transport system membrane protein MntB	306	33,482		syn:sll1600;
P74133	pbsA2 sll1875	pbsA2	Heme oxygenase 2 (EC 1.14.14.18)	250	28,540	1.14.14.18	syn:sll1875;
P74040	miaA sll0817	miaA	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	303	33,562	2.5.1.75	syn:sll0817;
P73755	mnmA trmU sll0844	mnmA	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	358	39,097	2.8.1.13	syn:sll0844;
P73658	rsfS slr1886	rsfS	Ribosomal silencing factor RsfS	154	17,090		syn:slr1886;
P73302	adk1 sll1815	adk1	Adenylate kinase 1 (AK 1) (EC 2.7.4.3) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase 1) (Adenylate monophosphate kinase 1)	187	20,454	2.7.4.3	syn:sll1815;
P73867	kdpB slr1729	kdpB	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	690	72,971	7.2.2.6	syn:slr1729;
P54384	leuC sll1470	leuC	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	468	50,458	4.2.1.33	syn:sll1470;
P74751	lepA slr0604	lepA	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	603	66,968	3.6.5.n1	syn:slr0604;
P45450	murF slr1351	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	454	48,297	6.3.2.10	syn:slr1351;
P73448	narB sll1454	narB	Nitrate reductase (EC 1.7.5.1)	714	79,632	1.7.5.1	syn:sll1454;
P74342	folB slr1626	folB	Probable dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)	118	13,146	4.1.2.25	syn:slr1626;
P72720	glmS sll0220	glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	631	69,607	2.6.1.16	syn:sll0220;
P73940	hhoB sll1427	hhoB	Putative serine protease HhoB	416	43,196		syn:sll1427;
P74106	hisF sll1893	hisF	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	261	27,974	4.3.2.10	syn:sll1893;
Q55746	lpxA sll0379	lpxA	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	276	30,002	2.3.1.129	syn:sll0379;
P73572	lipA2 sll0868	lipA2	Lipoyl synthase 2 (EC 2.8.1.8) (Lip-syn 2) (LS 2) (Lipoate synthase 2) (Lipoic acid synthase 2) (Sulfur insertion protein LipA 2)	303	34,267	2.8.1.8	syn:sll0868;
P73660	hemC slr1887	hemC	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	320	34,894	2.5.1.61	syn:slr1887;
P73722	lexA sll1626	lexA	Transcription regulator LexA (LexA-related repressor)	203	22,744		syn:sll1626;
P74519	lipB slr0994	lipB	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	227	25,641	2.3.1.181	syn:slr0994;
Q55900	minD sll0289	minD	Septum site-determining protein MinD (Cell division inhibitor MinD)	266	29,047		syn:sll0289;
P28371	fusA fus slr1463	fusA	Elongation factor G 1 (EF-G 1)	695	76,750		syn:slr1463;
P73456	ftsZ sll1633	ftsZ	Cell division protein FtsZ	430	44,774		syn:sll1633;
P74258	ggpS sll1566	ggpS	Glucosylglycerol-phosphate synthase (EC 2.4.1.213) (Glucosyl-glycerol-phosphate synthase) (GG-phosphate synthase) (GGPS)	499	56,802	2.4.1.213	syn:sll1566;
Q55575	sll0154		Putative gluconeogenesis factor	462	51,007		syn:sll0154;
P74327	mrnC slr0954	mrnC	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	143	16,177	3.1.26.-	syn:slr0954;
Q55928	slr0787		Bifunctional NMN adenylyltransferase/Nudix hydrolase [Includes: Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (NAD(+) diphosphorylase) (NAD(+) pyrophosphorylase) (NMN adenylyltransferase); ADP compounds hydrolase (EC 3.6.1.-)]	339	38,532	2.7.7.1; 3.6.1.-	syn:slr0787;
P72846	lgt sll1187	lgt	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)	283	32,107	2.5.1.145	syn:sll1187;
P73625	mutS2 mutSB sll1772	mutS2	Endonuclease MutS2 (EC 3.1.-.-)	822	90,670	3.1.-.-	syn:sll1772;
P73910	hslO sll1988	hslO	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	302	32,205		syn:sll1988;
P73960	leuB slr1517	leuB	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	362	38,667	1.1.1.85	syn:slr1517;
Q55750	mfd sll0377	mfd	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	1199	134,536	3.6.4.-	syn:sll0377;
Q55725	menD sll0603	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9)	595	66,133	2.2.1.9	syn:sll0603;
P73668	murD sll2010	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	452	49,049	6.3.2.9	syn:sll2010;
Q55482	uppS sll0506	uppS	Isoprenyl transferase (EC 2.5.1.-)	249	28,823	2.5.1.-	syn:sll0506;
Q55899	minE ssl0546	minE	Putative cell division topological specificity factor	97	11,239		syn:ssl0546;
P73553	mscL slr0875	mscL	Large-conductance mechanosensitive channel	145	15,806		syn:slr0875;
Q55179	murJ mviN slr0488	murJ	Probable lipid II flippase MurJ	533	57,053		syn:slr0488;
P73863	nhaS1 slr1727	nhaS1	Low-affinity Na(+)/H(+) antiporter NhaS1 (Sodium/proton antiporter NhaS1)	527	57,539		syn:slr1727;
P74771	ndhO ssl1690	ndhO	NAD(P)H-quinone oxidoreductase subunit O (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit O) (NDH-1 subunit O) (NDH-O)	72	8,289	7.1.1.-	syn:ssl1690;
P19050	ndhK1 psbG slr1280	ndhK1	NAD(P)H-quinone oxidoreductase subunit K 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit K 1) (NDH-1 subunit K 1) (NDH-K 1)	248	27,346	7.1.1.-	syn:slr1280;
Q55429	ndhF slr0844	ndhF	NAD(P)H-quinone oxidoreductase chain 5 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, chain 5) (NDH-1, chain 5)	681	74,400	7.1.1.-	syn:slr0844;
P75028	pcxA cotA slr1596	pcxA	Proton extrusion protein PcxA	440	51,117		syn:slr1596;
P49433	gap1 slr0884	gap1	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	339	36,146	1.2.1.12	syn:slr0884;
P74507	gpmI pgm slr1945	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	532	57,982	5.4.2.12	syn:slr1945;
P77961	glnA slr1756	glnA	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	473	53,026	6.3.1.2	syn:slr1756;
P73276	hik2 slr1147	hik2	Sensor histidine kinase Hik2 (EC 2.7.13.3) (CSK)	434	47,575	2.7.13.3	syn:slr1147;
P73540	lspA slr1366	lspA	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	161	17,623	3.4.23.36	syn:slr1366;
P72980	lipA1 slr1598	lipA1	Lipoyl synthase 1 (EC 2.8.1.8) (Lip-syn 1) (LS 1) (Lipoate synthase 1) (Lipoic acid synthase 1) (Sulfur insertion protein LipA 1)	289	32,485	2.8.1.8	syn:slr1598;
P73769	mutS sll1165	mutS	DNA mismatch repair protein MutS	878	97,586		syn:sll1165;
P74494	ndk ndkR sll1852	ndk	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	149	16,692	2.7.4.6	syn:sll1852;
P74069	ndhN sll1262	ndhN	NAD(P)H-quinone oxidoreductase subunit N (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit N) (NDH-1 subunit N) (NDH-N)	161	17,630	7.1.1.-	syn:sll1262;
P74338	ndhM slr1623	ndhM	NAD(P)H-quinone oxidoreductase subunit M (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit M) (NDH-1 subunit M) (NDH-M)	121	14,078	7.1.1.-	syn:slr1623;
P74689	ilvD slr0452	ilvD	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	561	58,646	4.2.1.9	syn:slr0452;
P72648	gmk slr1123	gmk	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	191	21,427	2.7.4.8	syn:slr1123;
Q55612	lpxD slr0776	lpxD	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-)	344	36,194	2.3.1.-	syn:slr0776;
P73450	nrtC sll1452	nrtC	Nitrate import ATP-binding protein NrtC (EC 7.3.2.4)	670	75,101	7.3.2.4	syn:sll1452;
P74228	fusB fus sll1098	fusB	Elongation factor G 2 (EF-G 2)	691	75,431		syn:sll1098;
P37101	prk ptk sll1525	prk	Phosphoribulokinase (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	332	37,913	2.7.1.19	syn:sll1525;
P72871	metK sll0927	metK	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	426	45,866	2.5.1.6	syn:sll0927;
P77969	hemB sll1994	hemB	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	327	36,163	4.2.1.24	syn:sll1994;
P72793	hemJ slr1790	hemJ	Protoporphyrinogen IX oxidase (PPO) (Protox) (EC 1.3.99.-)	210	24,064	1.3.99.-	syn:slr1790;
P54225	hemH slr0839	hemH	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	387	43,924	4.99.1.1	syn:slr0839;
P72818	menG sll1653	menG	2-phytyl-1,4-naphtoquinone methyltransferase (EC 2.1.1.329) (Demethylphylloquinone methyltransferase)	238	26,072	2.1.1.329	syn:sll1653;
P73127	miaB sll0996	miaB	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	451	50,957	2.8.4.3	syn:sll0996;
Q55370	moaC/mobA slr0902	moaC/mobA	Molybdenum cofactor biosynthesis bifunctional protein [Includes: Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C); Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)]	347	38,380	4.6.1.17; 2.7.7.77	syn:slr0902;
P74331	sll0905		Nucleoside triphosphate pyrophosphatase (EC 3.6.1.9) (Nucleotide pyrophosphatase) (Nucleotide PPase)	195	20,609	3.6.1.9	syn:sll0905;
Q55674	fumC slr0018	fumC	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	466	49,687	4.2.1.2	syn:slr0018;
P74250	gpx1 slr1171	gpx1	Hydroperoxy fatty acid reductase gpx1 (EC 1.11.1.22)	169	18,452	1.11.1.22	syn:slr1171;
P73866	kdpA slr1728	kdpA	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	558	59,289		syn:slr1728;
P74260	glpK slr1672	glpK	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	495	54,351	2.7.1.30	syn:slr1672;
P72946	slr0682		Histidinol dehydrogenase homolog (EC 1.1.-.-)	409	45,138	1.1.-.-	syn:slr0682;
Q55593	tmk slr0379	tmk	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	212	24,350	2.7.4.9	syn:slr0379;
Q57310	lpxB slr0015	lpxB	Lipid-A-disaccharide synthase (EC 2.4.1.182)	394	43,468	2.4.1.182	syn:slr0015;
P74301	nadC slr0936	nadC	Probable nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	295	31,973	2.4.2.19	syn:slr0936;
P74323	ispD slr0951	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	230	24,643	2.7.7.60	syn:slr0951;
Q55368	moeA slr0900	moeA	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	390	43,394	2.10.1.1	syn:slr0900;
P74055	lnt slr0819	lnt	Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269)	519	58,131	2.3.1.269	syn:slr0819;
Q55986	mraY sll0657	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	365	38,576	2.7.8.13	syn:sll0657;
P74422	ntcB slr0395	ntcB	Probable nitrogen assimilation transcriptional activator	309	34,847		syn:slr0395;
P49057	guaA slr0213	guaA	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	542	61,009	6.3.5.2	syn:slr0213;
P74644	kaiA slr0756	kaiA	Circadian clock protein KaiA	299	34,894		syn:slr0756;
P72988	lpxC sll1508	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	276	30,326	3.5.1.108	syn:sll1508;
P74430	nadK1 slr0400	nadK1	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase 1)	305	33,398	2.7.1.23	syn:slr0400;
P73452	nrtA sll1450	nrtA	Nitrate/nitrite binding protein NrtA	446	48,967		syn:sll1450;
P17062	ndhK2 psbG2 sll8031	ndhK2	NAD(P)H-quinone oxidoreductase subunit K 2 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit K 2) (NDH-1 subunit K 2) (NDH-K 2)	219	24,541	7.1.1.-	syn:sll8031;
Q59987	por pcr slr0506	por	Light-dependent protochlorophyllide reductase (PCR) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase) (LPOR) (POR)	322	36,062	1.3.1.33	syn:slr0506;
Q55247	glnB ssl0707	glnB	Nitrogen regulatory protein P-II (PII signal transducing protein)	112	12,397		syn:ssl0707;
